"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
21,20000,0.151586467316836,0.161478902640763,0.791336731260523,0.763213618227881,0.455618634021213,0.467704633613607,0.46654818753794,0.437871525715105,766,989,0.142578125
22,20000,0.152112933340676,0.152220795014001,0.762169053271519,0.761831646866961,0.514936449413576,0.524363153538275,0.463225610290436,0.443392758974969,712,800,0.168469860896445
23,20000,0.175336071375249,0.185831581911742,0.736731638685974,0.704270141706464,0.550121894299458,0.55984055485275,0.452215951849057,0.432690269409942,723,858,0.159941305942773
24,20000,0.15907524191763,0.169371853054585,0.628191114398939,0.578500505773152,0.346272257735669,0.344544793055005,0.583330528225147,0.587477475462942,902,1378,0.12039312039312
25,20000,0.195347768602188,0.209808446600742,0.705596614161551,0.660396758087084,0.429788883491057,0.439653165107376,0.500792643690252,0.477614602918619,892,1186,0.174674957603166
26,20000,0.144769784612312,0.143069571645759,0.788215576999727,0.79316086576771,0.551000235832316,0.554642239576101,0.465355315220479,0.45826416335115,788,831,0.184345281638625
27,20000,0.159648156130223,0.155201437675383,0.734889202089465,0.74945191785482,0.258821381596675,0.252133958271728,0.63020963111654,0.649072035504906,926,893,0.149084017687934
28,20000,0.173930844854369,0.182344575145057,0.732127700147322,0.705584759232543,0.333066859352374,0.334506633827885,0.590087900470427,0.586536321725729,1002,1152,0.192030990592142
29,20000,0.172552110387257,0.184120507150105,0.790460596466414,0.761422503118609,0.456762096144644,0.449750588420961,0.489521939685434,0.505073797212614,626,732,0.143097643097643
30,20000,0.219424717090855,0.218262468308305,0.696369544610165,0.699577565356683,0.32322399427373,0.324263951263732,0.62136143945888,0.618921018643544,679,863,0.152466367713004
31,20000,0.152953874113126,0.151359681984741,0.783432548017522,0.78792345627596,0.301834533858773,0.305185947086771,0.705519410931651,0.698943587513076,849,941,0.177631578947368
32,20000,0.167353452314081,0.17087639763825,0.779140223124295,0.769743744860952,0.439037721670068,0.43687586353717,0.519061307493348,0.523786010341803,714,998,0.136031851360319
33,20000,0.192250321646836,0.192664408774381,0.751349692012308,0.750277404834047,0.46179094133029,0.453282778016905,0.511870203716794,0.529691381390993,996,881,0.175328741390106
34,20000,0.158129737034499,0.163319193605874,0.750735423031116,0.734106377019218,0.359542783419713,0.367040632054093,0.579475539003351,0.561753558280564,742,859,0.202854996243426
35,20000,0.203417533817327,0.197644841798854,0.721272327696786,0.736867623919105,0.411727779784978,0.396163964919088,0.536609921276728,0.570981194255783,734,989,0.162618083670715
36,20000,0.151842510490152,0.16022806450426,0.780621565918522,0.75572200074815,0.557679112601531,0.559945625309332,0.429211013028513,0.424561997549531,805,834,0.1640625
37,20000,0.1679575158032,0.166407925101816,0.823279814754534,0.826525643920082,0.365506470854109,0.357688161598612,0.601235082146682,0.618112066298288,606,828,0.149038461538462
38,20000,0.1436294750175,0.166595685849268,0.774181323054303,0.696191294702835,0.448869047928412,0.449812971651542,0.487397965547625,0.485239803949543,831,921,0.170340681362725
39,20000,0.136942350003375,0.160089122699044,0.827059231608441,0.763655510505597,0.334606125748665,0.336054670294885,0.623655926516179,0.620390408517617,799,908,0.205508474576271
40,20000,0.175207263513852,0.187309073965123,0.709858176707317,0.668392949191206,0.533438427068413,0.552324355840186,0.429641583709464,0.388540567685897,696,1021,0.125163826998689
41,20000,0.160525056397106,0.168269190747604,0.851558758907803,0.836890924330443,0.449889455805063,0.435425643354162,0.569226156640689,0.596479409697117,852,822,0.156876295784381
42,20000,0.135225888881675,0.137594374395124,0.84786112215585,0.842485015508715,0.402811128155082,0.394646922423885,0.537988558033939,0.556526930264273,869,909,0.186124082721815
43,20000,0.13562538284137,0.156849733620075,0.747249489210454,0.661952554373295,0.436384203185698,0.420415787646839,0.469310685876704,0.507438646763184,692,798,0.143514965464313
44,20000,0.194393776371043,0.191387625140698,0.714256980387976,0.723026242029312,0.512200058867012,0.505561487751963,0.398596207061285,0.414084643036537,854,977,0.169220945083014
45,20000,0.151742801660125,0.150805658043619,0.867178435339757,0.868813946428428,0.362349557483218,0.356217735902774,0.604519118429686,0.617790831333326,810,936,0.158593231585932
46,20000,0.120216702517488,0.133164173855794,0.862792864685065,0.831646607416113,0.46794342833373,0.459110685816527,0.465333407317976,0.485327283586377,711,905,0.128491620111732
47,20000,0.131987741505519,0.144285434132029,0.82469082275143,0.790500766910179,0.306510766765736,0.301630571443729,0.709758602813629,0.71892734195182,764,954,0.176712328767123
